port,protocol,service,target,scan_date
53,tcp,domain,192.168.0.1,2025-04-30 21:12:53
80,tcp,http,192.168.0.1,2025-04-30 21:12:53
443,tcp,ssl/http,192.168.0.1,2025-04-30 21:12:53
1900,tcp,upnp,192.168.0.1,2025-04-30 21:12:53
20001,tcp,ssh,192.168.0.1,2025-04-30 21:12:53
