port,protocol,service,target,scan_date
53,tcp,domain,192.168.0.1,2025-05-08 17:35:33
80,tcp,http,192.168.0.1,2025-05-08 17:35:33
443,tcp,ssl/http,192.168.0.1,2025-05-08 17:35:33
1900,tcp,upnp,192.168.0.1,2025-05-08 17:35:33
20001,tcp,ssh,192.168.0.1,2025-05-08 17:35:33
