port,protocol,service,target,scan_date
53,tcp,domain,192.168.0.1,2025-05-13 01:37:47
80,tcp,http,192.168.0.1,2025-05-13 01:37:47
443,tcp,ssl/http,192.168.0.1,2025-05-13 01:37:47
1900,tcp,upnp,192.168.0.1,2025-05-13 01:37:47
20001,tcp,ssh,192.168.0.1,2025-05-13 01:37:47
